Drug Name,Manufacturer,Dosage Form,Strength,Package Size,Units Sold,Revenue,Sale Date,Region,Sales Representative,Customer Type
Drug B,Company X,Injection,10 mg,50 g,454,$37133,19-01-2024,Europe,Brandon Cooper,Online Pharmacy
Drug C,Company Y,Cream,10 mg,30,1550,$45767,09-09-2023,North America,Cathy Gonzalez,Online Pharmacy
Drug D,Company V,Syrup,50 mg,100 ml,1488,$19770,11-07-2024,North America,Mrs. Hailey Johnson DDS,Online Pharmacy
Drug B,Company V,Syrup,250 mg,30,1207,$29546,08-11-2023,Europe,Austin Martinez,Pharmacy
Drug E,Company W,Injection,500 mg,30,751,$46620,16-04-2024,Europe,Stephanie Davis,Clinics
Drug A,Company V,Injection,100 mg/ml,60,1388,$44954,26-01-2024,Africa,Erica Bass,Clinics
Drug D,Company X,Tablet,100 mg/ml,100 ml,712,$24140,18-11-2023,Africa,Jonathan Brown,Hospitals
Drug A,Company Y,Tablet,500 mg,100 ml,1428,$1848,09-02-2024,Asia,Zachary Miller,Hospitals
Drug B,Company Y,Injection,250 mg,100 ml,1437,$1329,31-03-2024,South America,Dr. Laura Shaffer,Hospitals
Drug E,Company Z,Syrup,50 mg,60,818,$34522,13-03-2024,Europe,Paul Smith,Clinics
Drug D,Company Y,Tablet,10 mg,30,1094,$34972,11-05-2024,Europe,Stacey Hart,Online Pharmacy
Drug C,Company W,Capsule,50 mg,60,1882,$1492,17-12-2023,South America,Dr. Sara Wilson,Hospitals
Drug D,Company V,Tablet,250 mg,10 ml,1247,$40432,15-02-2024,Europe,Gary Lucas,Hospitals
Drug C,Company Y,Capsule,500 mg,100 ml,1989,$14261,25-10-2023,North America,Jacqueline Greene,Hospitals
Drug A,Company X,Cream,50 mg,100 ml,1725,$26182,18-11-2023,South America,Joseph Ross,Online Pharmacy
Drug E,Company V,Cream,50 mg,50 g,815,$33782,05-10-2023,Asia,John Davila,Pharmacy
Drug D,Company W,Syrup,250 mg,60,135,$40651,07-04-2024,Europe,Jerry Michael,Clinics
Drug A,Company X,Syrup,500 mg,30,1664,$25573,23-06-2024,South America,Christina Blankenship,Online Pharmacy
Drug D,Company V,Syrup,50 mg,50 g,1402,$31956,17-10-2023,Asia,Daniel Bryant,Clinics
Drug B,Company X,Capsule,250 mg,10 ml,153,$30983,07-01-2024,Africa,Maria Moore,Pharmacy
Drug B,Company X,Tablet,250 mg,60,399,$21160,04-07-2024,Europe,Danny Pennington,Hospitals
Drug C,Company X,Cream,100 mg/ml,50 g,314,$43409,15-02-2024,North America,Geoffrey Elliott,Pharmacy
Drug D,Company V,Cream,100 mg/ml,60,504,$46392,12-04-2024,South America,Heather Simmons,Pharmacy
Drug B,Company W,Injection,250 mg,30,214,$10257,02-11-2023,Asia,Mark Mckinney,Hospitals
Drug D,Company V,Capsule,10 mg,100 ml,1738,$17663,27-11-2023,Asia,Amy Dickson,Pharmacy
Drug B,Company V,Injection,100 mg/ml,30,167,$4175,15-08-2023,North America,Bradley Dean,Clinics
Drug A,Company X,Syrup,500 mg,30,1696,$26976,01-02-2024,South America,Dylan Warren,Pharmacy
Drug B,Company X,Cream,10 mg,10 ml,1216,$32615,22-10-2023,South America,Ryan Thompson,Hospitals
Drug C,Company V,Capsule,10 mg,10 ml,599,$1411,04-12-2023,North America,Alicia Flynn,Online Pharmacy
Drug D,Company W,Cream,250 mg,30,609,$25953,06-02-2024,North America,Felicia Wallace,Pharmacy
Drug B,Company V,Syrup,50 mg,10 ml,1199,$4779,04-06-2024,South America,Jeffrey Molina,Clinics
Drug E,Company Z,Syrup,50 mg,50 g,1238,$30313,11-02-2024,South America,Dustin Stephenson,Hospitals
Drug B,Company X,Cream,10 mg,60,354,$11544,25-06-2024,South America,Autumn Francis,Pharmacy
Drug D,Company V,Cream,50 mg,10 ml,489,$48883,05-01-2024,South America,Audrey Pennington,Online Pharmacy
Drug A,Company Z,Tablet,500 mg,10 ml,1042,$34649,13-07-2024,North America,Thomas Chapman,Online Pharmacy
Drug B,Company Z,Capsule,100 mg/ml,60,392,$33170,10-06-2024,Europe,David Johnson,Pharmacy
Drug D,Company Y,Injection,500 mg,100 ml,786,$22000,01-04-2024,Asia,Donna Lucas,Online Pharmacy
Drug A,Company V,Tablet,50 mg,100 ml,1347,$29744,19-07-2024,South America,Michael Robinson,Hospitals
Drug B,Company Y,Syrup,50 mg,60,499,$14526,10-04-2024,North America,Austin Martin,Hospitals
Drug E,Company Y,Capsule,50 mg,60,489,$25559,22-12-2023,South America,Julie Ferguson,Online Pharmacy
Drug E,Company W,Capsule,250 mg,30,963,$24965,04-10-2023,Europe,Justin Coffey,Hospitals
Drug A,Company Y,Cream,250 mg,100 ml,1650,$36514,26-06-2024,Europe,Daniel Kelly,Hospitals
Drug B,Company Z,Capsule,500 mg,100 ml,1826,$46602,10-07-2024,Asia,Leah Miller,Supermarkets
Drug D,Company V,Cream,500 mg,60,608,$28326,05-05-2024,North America,Amy Jackson,Clinics
Drug C,Company Y,Tablet,500 mg,100 ml,297,$20215,19-06-2024,Europe,Brian Dennis,Pharmacy
Drug C,Company Y,Cream,250 mg,60,1095,$23543,13-09-2023,South America,Elizabeth Branch,Clinics
Drug D,Company Z,Tablet,10 mg,30,1585,$34365,25-03-2024,Europe,Rebecca Baker,Hospitals
Drug E,Company W,Injection,500 mg,50 g,749,$13462,26-08-2023,Europe,Ryan Beck,Clinics
Drug B,Company X,Capsule,10 mg,50 g,1666,$32893,30-09-2023,North America,Annette Bartlett,Clinics
Drug A,Company W,Cream,50 mg,60,371,$25596,01-03-2024,Europe,Cameron Garcia,Online Pharmacy
Drug D,Company Y,Syrup,250 mg,100 ml,1663,$20214,09-12-2023,South America,Carlos Sawyer,Hospitals
Drug E,Company Z,Tablet,500 mg,50 g,698,$1522,03-08-2023,North America,Anthony Bell,Hospitals
Drug B,Company Y,Tablet,500 mg,50 g,1595,$16585,13-07-2024,Asia,Adam Brown,Online Pharmacy
Drug E,Company Y,Injection,100 mg/ml,60,1474,$32199,09-01-2024,South America,Phyllis Robertson,Clinics
Drug B,Company V,Cream,250 mg,10 ml,1611,$37594,04-06-2024,North America,Justin Hamilton,Pharmacy
Drug E,Company V,Injection,10 mg,10 ml,1876,$26559,28-08-2023,South America,Lucas Dunn,Online Pharmacy
Drug C,Company Z,Cream,500 mg,60,939,$22379,22-04-2024,Asia,Aaron Douglas,Online Pharmacy
Drug A,Company V,Cream,50 mg,60,1075,$41442,11-05-2024,Europe,Gregory Ross,Hospitals
Drug B,Company Y,Syrup,10 mg,30,868,$41228,19-06-2024,Europe,Corey Wong,Online Pharmacy
Drug E,Company X,Cream,50 mg,10 ml,1135,$42632,26-03-2024,Africa,Bobby Price,Online Pharmacy
Drug E,Company W,Capsule,250 mg,30,1780,$28351,28-09-2023,Asia,Nicole Jones,Supermarkets
Drug D,Company V,Injection,100 mg/ml,10 ml,833,$42915,02-04-2024,Asia,Bonnie Thompson,Clinics
Drug B,Company Z,Syrup,250 mg,10 ml,1134,$26634,26-03-2024,Asia,Dawn Rogers,Hospitals
Drug A,Company Y,Cream,50 mg,100 ml,1706,$21681,03-08-2023,Europe,Robert Kelley,Hospitals
Drug C,Company Z,Cream,250 mg,10 ml,1395,$22835,08-02-2024,Europe,Anna Jordan,Supermarkets
Drug E,Company X,Tablet,10 mg,100 ml,1693,$31240,26-06-2024,South America,Seth Jenkins,Online Pharmacy
Drug E,Company Y,Syrup,10 mg,30,1549,$9455,23-02-2024,Europe,Tiffany Brown,Pharmacy
Drug E,Company X,Cream,10 mg,10 ml,100,$32910,29-10-2023,North America,Michael Ortiz,Hospitals
Drug B,Company V,Cream,50 mg,50 g,826,$24350,10-11-2023,North America,Lauren Brown,Clinics
Drug C,Company W,Cream,500 mg,50 g,1308,$17828,13-01-2024,Asia,Barbara Richard,Supermarkets
Drug B,Company Y,Capsule,500 mg,100 ml,1691,$37249,25-10-2023,North America,Haley Maldonado,Supermarkets
Drug B,Company Z,Syrup,10 mg,10 ml,1028,$7222,01-04-2024,Africa,Timothy Crosby,Supermarkets
Drug D,Company Y,Cream,100 mg/ml,30,1134,$5856,03-11-2023,North America,Robin Benton,Hospitals
Drug A,Company V,Cream,250 mg,50 g,1503,$19148,26-06-2024,Asia,Mr. David Bennett,Pharmacy
Drug A,Company W,Tablet,500 mg,10 ml,1509,$30615,09-12-2023,Europe,Alexander Maynard,Hospitals
Drug D,Company V,Syrup,10 mg,10 ml,578,$33113,17-02-2024,Asia,Julia Stevens,Clinics
Drug C,Company V,Cream,250 mg,10 ml,1195,$42794,09-09-2023,North America,Kimberly Stewart,Online Pharmacy
Drug D,Company Y,Injection,50 mg,60,485,$29314,01-03-2024,North America,Rachel Allen,Pharmacy
Drug E,Company Z,Tablet,100 mg/ml,60,819,$47811,03-10-2023,South America,Tracy Erickson,Supermarkets
Drug C,Company X,Syrup,100 mg/ml,100 ml,1654,$16660,04-04-2024,South America,William Parks,Pharmacy
Drug D,Company W,Capsule,500 mg,60,1957,$32269,27-04-2024,Europe,Paul Morgan,Online Pharmacy
Drug E,Company Z,Cream,50 mg,60,799,$10708,24-03-2024,Europe,Jessica Vincent,Hospitals
Drug C,Company V,Cream,10 mg,100 ml,1532,$5489,13-04-2024,North America,Elizabeth Ray,Clinics
Drug A,Company W,Injection,250 mg,100 ml,1786,$11345,12-09-2023,Africa,James Graham,Hospitals
Drug B,Company Z,Syrup,50 mg,100 ml,1927,$8953,02-01-2024,Asia,Darrell Kelly,Hospitals
Drug D,Company W,Capsule,10 mg,60,1475,$27251,24-07-2024,Africa,Richard Thomas,Online Pharmacy
Drug C,Company X,Capsule,100 mg/ml,10 ml,290,$16582,08-05-2024,Asia,Laura Gregory,Clinics
Drug C,Company X,Tablet,50 mg,60,677,$20916,20-03-2024,Asia,David Castro,Online Pharmacy
Drug B,Company Y,Injection,50 mg,10 ml,1728,$30905,13-12-2023,North America,Jessica Webster,Hospitals
Drug D,Company Y,Capsule,50 mg,10 ml,709,$16636,07-10-2023,North America,Cristina Stevens,Clinics
Drug A,Company Y,Tablet,10 mg,60,1660,$9172,29-06-2024,North America,Lauren Bryant,Supermarkets
Drug C,Company Z,Capsule,500 mg,60,1530,$15055,29-07-2023,Asia,Adam Shelton,Supermarkets
Drug B,Company W,Tablet,500 mg,60,1804,$17065,22-09-2023,Asia,Ashley Pittman,Hospitals
Drug C,Company V,Tablet,10 mg,10 ml,847,$20074,08-06-2024,North America,Miss Amy Perry,Pharmacy
Drug D,Company Z,Injection,10 mg,50 g,1944,$25684,27-03-2024,Asia,Johnny Kim,Pharmacy
Drug B,Company Y,Capsule,500 mg,100 ml,1882,$14779,15-06-2024,Europe,Yvonne Rogers,Pharmacy
Drug C,Company W,Capsule,500 mg,50 g,377,$20905,28-02-2024,Europe,Mr. Kevin Duffy,Hospitals
Drug E,Company W,Injection,100 mg/ml,50 g,1784,$11761,26-08-2023,Asia,Angela Brown,Pharmacy
Drug C,Company X,Injection,50 mg,100 ml,1414,$29966,12-05-2024,Europe,Lauren Gilbert,Clinics
Drug B,Company Z,Syrup,100 mg/ml,60,1782,$32047,24-12-2023,Europe,Michael Solis,Hospitals
Drug B,Company V,Syrup,100 mg/ml,30,221,$40972,11-06-2024,Europe,Andre Skinner,Clinics
Drug C,Company W,Syrup,10 mg,60,1221,$15799,12-09-2023,North America,Jamie Martin,Clinics
Drug C,Company X,Cream,500 mg,60,1461,$28440,16-08-2023,Africa,Allison Alvarado,Supermarkets
Drug D,Company Z,Syrup,100 mg/ml,100 ml,1621,$22584,13-08-2023,Asia,Amy Anderson,Online Pharmacy
Drug A,Company Y,Capsule,50 mg,100 ml,587,$49864,13-10-2023,Africa,Ariel Brown,Supermarkets
Drug B,Company Y,Injection,10 mg,100 ml,902,$15266,14-10-2023,South America,John Newman,Clinics
Drug C,Company Z,Cream,10 mg,10 ml,447,$5128,24-11-2023,Asia,Jon Richardson,Supermarkets
Drug A,Company X,Injection,100 mg/ml,60,646,$39113,10-07-2024,South America,Sarah Burnett,Pharmacy
Drug D,Company V,Tablet,10 mg,100 ml,1135,$12514,27-08-2023,Asia,Jason Bradley,Online Pharmacy
Drug B,Company X,Capsule,250 mg,50 g,1494,$45452,16-12-2023,Africa,Brendan Harrington,Clinics
Drug C,Company X,Tablet,50 mg,50 g,279,$32754,14-01-2024,Africa,Danny Bernard,Hospitals
Drug E,Company V,Syrup,50 mg,50 g,302,$20937,28-05-2024,South America,Timothy Villanueva,Supermarkets
Drug D,Company Z,Injection,10 mg,10 ml,1306,$35777,07-05-2024,Europe,Jonathan Brown,Supermarkets
Drug D,Company W,Capsule,500 mg,50 g,1372,$47220,27-11-2023,North America,Amy Adams,Clinics
Drug C,Company X,Tablet,10 mg,60,873,$28524,01-10-2023,Asia,Lisa Williams,Hospitals
Drug C,Company X,Tablet,10 mg,60,1075,$4900,21-11-2023,Asia,Casey Coleman,Supermarkets
Drug A,Company Y,Cream,500 mg,10 ml,862,$17179,12-11-2023,Europe,Samuel Lopez,Clinics
Drug C,Company W,Syrup,100 mg/ml,10 ml,1872,$42474,01-08-2023,Asia,Joseph Johnson,Pharmacy
Drug E,Company V,Syrup,10 mg,50 g,1041,$45750,14-06-2024,Europe,Mark Reed,Hospitals
Drug C,Company W,Capsule,10 mg,60,149,$40553,04-11-2023,Europe,Maurice Mcintosh,Hospitals
Drug C,Company X,Injection,500 mg,60,996,$6016,19-06-2024,North America,Ryan Cardenas,Pharmacy
Drug B,Company Z,Injection,500 mg,60,1890,$35859,10-11-2023,South America,Rachel Robinson,Clinics
Drug B,Company X,Syrup,10 mg,30,770,$15607,17-10-2023,Africa,Charles Wagner,Supermarkets
Drug E,Company Y,Injection,50 mg,30,727,$3436,01-02-2024,Europe,Donna White,Online Pharmacy
Drug A,Company Z,Tablet,10 mg,100 ml,190,$14001,11-01-2024,Europe,Shane Burke,Supermarkets
Drug D,Company X,Cream,500 mg,10 ml,1248,$33631,16-12-2023,Asia,Daniel Newton,Clinics
Drug D,Company Z,Syrup,50 mg,30,1183,$39477,16-03-2024,North America,Anita Morgan,Clinics
Drug A,Company Z,Tablet,250 mg,60,1394,$13808,17-04-2024,Asia,Sheryl Ramos,Hospitals
Drug E,Company Z,Syrup,500 mg,100 ml,626,$28471,05-10-2023,Europe,Robert Cline,Clinics
Drug B,Company V,Injection,10 mg,60,1394,$3360,20-06-2024,Europe,Katherine Smith,Hospitals
Drug B,Company X,Tablet,250 mg,30,1699,$25685,20-11-2023,South America,Sarah Martin,Hospitals
Drug E,Company W,Cream,250 mg,30,364,$20390,13-09-2023,North America,Maria Sullivan,Hospitals
Drug B,Company X,Injection,100 mg/ml,60,1120,$22277,26-08-2023,South America,Janet Bates,Hospitals
Drug D,Company Y,Cream,50 mg,10 ml,323,$22108,26-08-2023,North America,Jorge Garcia,Online Pharmacy
Drug E,Company X,Capsule,500 mg,30,1394,$45719,23-09-2023,South America,Jacob Bennett,Online Pharmacy
Drug B,Company V,Syrup,250 mg,30,515,$10882,28-03-2024,Europe,Sarah Davila,Online Pharmacy
Drug D,Company Y,Capsule,50 mg,10 ml,1729,$26352,20-02-2024,Europe,Carolyn Rhodes,Supermarkets
Drug E,Company X,Capsule,50 mg,30,1208,$39952,10-03-2024,South America,Erik Silva,Supermarkets
Drug D,Company X,Syrup,10 mg,30,1657,$21133,28-03-2024,Africa,Eric Lee,Clinics
Drug A,Company W,Syrup,500 mg,60,1572,$46966,18-10-2023,North America,David Bell,Pharmacy
Drug A,Company Y,Injection,500 mg,60,901,$37255,25-10-2023,Africa,Raymond Aguirre,Clinics
Drug C,Company X,Injection,100 mg/ml,100 ml,814,$11345,08-02-2024,Asia,Juan Webb,Supermarkets
Drug E,Company X,Injection,50 mg,10 ml,1124,$18402,30-12-2023,South America,Matthew Johnson,Online Pharmacy
Drug B,Company X,Injection,250 mg,100 ml,1609,$12823,27-06-2024,Asia,Daniel Poole,Online Pharmacy
Drug E,Company X,Injection,250 mg,50 g,846,$39016,20-02-2024,South America,Joseph Howard,Clinics
Drug A,Company V,Cream,250 mg,50 g,859,$49397,29-08-2023,Africa,Madison Butler,Online Pharmacy
Drug E,Company V,Tablet,250 mg,10 ml,389,$3098,10-05-2024,Asia,Cameron Hunter,Hospitals
Drug B,Company Z,Injection,500 mg,60,1964,$38375,24-11-2023,South America,James Smith,Clinics
Drug A,Company Y,Injection,100 mg/ml,60,764,$2858,25-08-2023,North America,Brian Dodson,Hospitals
Drug D,Company Y,Syrup,500 mg,30,1326,$20696,11-06-2024,North America,Savannah Brown,Clinics
Drug E,Company Z,Cream,50 mg,50 g,229,$17960,12-03-2024,Asia,John Gates,Clinics
Drug E,Company V,Tablet,50 mg,10 ml,1201,$15965,05-04-2024,South America,Christine Willis,Clinics
Drug B,Company V,Tablet,500 mg,60,498,$17227,31-03-2024,South America,Rebecca Taylor,Clinics
Drug E,Company W,Capsule,500 mg,60,1171,$1301,03-10-2023,Asia,Lauren Johnson,Pharmacy
Drug D,Company Y,Injection,10 mg,30,429,$1770,30-05-2024,Europe,Candace Bowen,Supermarkets
Drug A,Company Z,Capsule,50 mg,60,149,$24712,24-07-2024,Asia,Chase Melendez,Online Pharmacy
Drug B,Company Y,Cream,250 mg,60,832,$41916,19-04-2024,South America,Mr. Austin Park,Online Pharmacy
Drug C,Company X,Syrup,500 mg,50 g,324,$40529,16-08-2023,Africa,Wendy Cowan,Clinics
Drug E,Company Y,Capsule,500 mg,10 ml,244,$34645,14-04-2024,South America,Shelly Ball,Clinics
Drug E,Company Z,Syrup,50 mg,60,298,$26167,17-11-2023,Europe,Nancy Evans,Supermarkets
Drug E,Company X,Syrup,100 mg/ml,30,1148,$49962,22-12-2023,Europe,Cathy Hooper,Clinics
Drug E,Company Z,Syrup,250 mg,60,1090,$1972,31-12-2023,Africa,Amy Garcia,Pharmacy
Drug B,Company V,Injection,100 mg/ml,100 ml,1944,$26394,01-05-2024,Europe,Deborah Lopez,Pharmacy
Drug E,Company Z,Injection,10 mg,30,835,$30738,23-06-2024,Africa,Tiffany Lucas,Supermarkets
Drug A,Company V,Injection,10 mg,100 ml,1156,$38835,14-04-2024,Europe,Karen Garcia,Pharmacy
Drug C,Company Z,Cream,500 mg,60,728,$11807,08-01-2024,Asia,Tracy Wagner,Pharmacy
Drug E,Company Z,Syrup,250 mg,100 ml,1706,$30997,08-11-2023,South America,Kimberly Hudson,Online Pharmacy
Drug B,Company W,Cream,10 mg,60,1281,$18807,03-07-2024,Europe,Walter Maldonado,Clinics
Drug A,Company Z,Capsule,100 mg/ml,30,1507,$30246,12-05-2024,North America,Tyrone Doyle,Pharmacy
Drug C,Company W,Cream,100 mg/ml,10 ml,1337,$1231,21-09-2023,Europe,Sherry Adams,Pharmacy
Drug E,Company Z,Capsule,100 mg/ml,60,483,$10434,12-04-2024,Asia,Brooke Russell,Supermarkets
Drug E,Company X,Injection,250 mg,50 g,1562,$4538,27-11-2023,Europe,Stephanie Boyd,Supermarkets
Drug A,Company Y,Syrup,250 mg,50 g,1893,$10971,09-01-2024,Africa,Thomas Vega,Clinics
Drug B,Company X,Tablet,10 mg,10 ml,368,$16546,15-03-2024,Asia,Maria Lewis,Hospitals
Drug A,Company Z,Cream,50 mg,50 g,1781,$2138,30-01-2024,Europe,Alexis Luna,Hospitals
Drug D,Company X,Injection,250 mg,30,440,$20986,20-10-2023,Asia,Hannah Lynch,Clinics
Drug E,Company Z,Syrup,100 mg/ml,100 ml,214,$43574,13-10-2023,North America,Todd Ortiz,Pharmacy
Drug B,Company W,Tablet,500 mg,30,472,$19038,19-05-2024,North America,Wanda Salazar,Clinics
Drug B,Company W,Tablet,50 mg,30,1484,$29949,06-04-2024,Africa,Margaret Patel,Supermarkets
Drug C,Company X,Tablet,250 mg,100 ml,914,$34019,15-08-2023,North America,Kevin Morrow,Pharmacy
Drug C,Company Y,Capsule,10 mg,100 ml,1423,$36260,08-11-2023,Europe,Todd Lewis,Pharmacy
Drug A,Company Z,Tablet,500 mg,60,1566,$16223,02-02-2024,North America,Michael Hernandez,Supermarkets
Drug C,Company Z,Syrup,10 mg,30,908,$43749,22-10-2023,Africa,Allison Duran,Online Pharmacy
Drug A,Company X,Tablet,250 mg,60,1387,$44173,02-07-2024,North America,Angela Freeman,Pharmacy
Drug C,Company V,Capsule,250 mg,60,755,$34127,08-11-2023,South America,Jessica Andrews,Pharmacy
Drug A,Company V,Capsule,500 mg,100 ml,1434,$43000,25-01-2024,Asia,Jay Tate,Supermarkets
Drug B,Company Z,Syrup,50 mg,10 ml,1286,$1777,03-11-2023,Europe,Keith Davis,Hospitals
Drug D,Company V,Injection,500 mg,60,992,$4119,06-03-2024,Asia,Dennis Simmons,Hospitals
Drug B,Company Z,Injection,100 mg/ml,60,130,$37525,03-05-2024,Asia,Joshua Spencer,Hospitals
Drug C,Company W,Tablet,100 mg/ml,10 ml,1575,$15314,03-08-2023,Europe,Ronnie Becker,Pharmacy
Drug A,Company Y,Tablet,100 mg/ml,30,634,$28930,26-08-2023,North America,Brittany Knight,Online Pharmacy
Drug C,Company W,Cream,250 mg,100 ml,937,$1592,25-11-2023,Africa,Mrs. Tammy Ferguson,Hospitals
Drug A,Company W,Injection,100 mg/ml,60,653,$40612,11-10-2023,South America,Daniel Flores,Clinics
Drug E,Company W,Cream,500 mg,30,924,$12763,28-12-2023,Europe,Jocelyn Adams,Online Pharmacy
Drug A,Company Z,Injection,100 mg/ml,10 ml,1480,$22509,18-12-2023,Africa,Ronald Lopez,Online Pharmacy
Drug B,Company X,Cream,50 mg,30,1069,$20868,07-04-2024,Europe,Sarah Anderson,Supermarkets
Drug B,Company W,Syrup,250 mg,30,1480,$28254,13-06-2024,Asia,Bryan Gonzalez,Supermarkets
Drug E,Company W,Injection,50 mg,100 ml,1744,$47553,06-08-2023,North America,Steven Knox,Supermarkets
Drug E,Company Y,Injection,250 mg,30,343,$15580,06-09-2023,Asia,Anna Shepherd,Clinics
Drug E,Company V,Cream,100 mg/ml,50 g,1448,$36442,07-06-2024,North America,Shawn Delgado DVM,Clinics
Drug A,Company Z,Injection,100 mg/ml,50 g,1484,$24252,22-08-2023,Asia,Debra Nichols,Pharmacy
Drug C,Company Z,Injection,100 mg/ml,50 g,646,$39816,21-03-2024,South America,Leslie Cruz,Supermarkets
Drug B,Company W,Injection,500 mg,100 ml,873,$19598,27-03-2024,South America,Tamara Ryan,Clinics
Drug D,Company Z,Injection,500 mg,10 ml,507,$2658,17-11-2023,Europe,Lisa Wallace,Clinics
Drug E,Company Z,Injection,100 mg/ml,30,1465,$22742,19-06-2024,North America,Judy Alvarado,Clinics
Drug B,Company Z,Tablet,250 mg,50 g,917,$16758,27-02-2024,Europe,William Jones,Hospitals
Drug E,Company W,Cream,500 mg,50 g,450,$4842,21-04-2024,Asia,Timothy Lewis,Pharmacy
Drug D,Company V,Syrup,100 mg/ml,60,1036,$28098,02-10-2023,South America,Kristin Stewart,Clinics
Drug D,Company W,Tablet,50 mg,30,355,$16758,04-10-2023,Asia,Michael Gaines,Online Pharmacy
Drug E,Company Y,Capsule,10 mg,10 ml,159,$10132,13-10-2023,North America,Rebecca Turner,Pharmacy
Drug C,Company V,Injection,100 mg/ml,30,1835,$48131,21-04-2024,South America,Kevin Johnson,Pharmacy
Drug E,Company Y,Tablet,50 mg,30,345,$23783,15-10-2023,North America,Michelle Bowman,Online Pharmacy
Drug C,Company Z,Capsule,100 mg/ml,30,1701,$38134,06-06-2024,North America,Michael Burch,Clinics
Drug C,Company X,Capsule,10 mg,30,966,$29754,27-09-2023,North America,Angel Gonzalez,Pharmacy
Drug A,Company X,Cream,50 mg,50 g,1876,$35523,21-05-2024,North America,Tammy Dunlap,Pharmacy
Drug D,Company Z,Tablet,10 mg,100 ml,1589,$39611,16-07-2024,South America,John Ramirez,Hospitals
Drug E,Company Z,Syrup,100 mg/ml,60,1236,$5976,10-03-2024,Asia,Peter Barron,Supermarkets
Drug D,Company W,Capsule,100 mg/ml,30,406,$19800,06-10-2023,South America,Paige Davis,Online Pharmacy
Drug E,Company W,Capsule,250 mg,60,1477,$42087,11-01-2024,North America,Thomas Miller,Pharmacy
Drug C,Company Y,Syrup,100 mg/ml,100 ml,1684,$49229,09-05-2024,Europe,Miss Sara Hamilton,Online Pharmacy
Drug C,Company Y,Cream,100 mg/ml,50 g,849,$45151,02-08-2023,Europe,Brian Little,Online Pharmacy
Drug A,Company X,Tablet,500 mg,50 g,849,$39729,24-08-2023,South America,Charles White,Pharmacy
Drug D,Company W,Capsule,50 mg,30,1743,$11137,30-11-2023,Asia,Elizabeth Carrillo,Clinics
Drug E,Company Z,Injection,10 mg,50 g,359,$14269,07-11-2023,North America,Amber Garcia,Supermarkets
Drug B,Company Z,Tablet,100 mg/ml,100 ml,573,$4115,12-06-2024,South America,Katherine Velazquez,Supermarkets
Drug B,Company W,Cream,500 mg,10 ml,1330,$28423,16-09-2023,South America,Brian Barnes,Pharmacy
Drug E,Company Z,Tablet,100 mg/ml,30,1087,$15485,06-03-2024,Asia,Susan Osborne,Supermarkets
Drug B,Company W,Capsule,50 mg,100 ml,404,$8798,08-10-2023,Asia,Robin Owens,Supermarkets
Drug A,Company X,Cream,250 mg,60,1641,$4850,01-10-2023,North America,Mr. Erik Bennett,Hospitals
Drug D,Company X,Capsule,500 mg,50 g,1013,$38304,18-09-2023,Europe,Sarah Whitney,Pharmacy
Drug E,Company Z,Injection,10 mg,10 ml,434,$32258,23-07-2024,North America,Thomas Mitchell,Clinics
Drug D,Company Y,Injection,50 mg,30,857,$25111,30-08-2023,North America,Thomas Houston,Hospitals
Drug E,Company V,Cream,250 mg,30,1215,$3802,22-05-2024,South America,Kathleen Jenkins DVM,Supermarkets
Drug E,Company Y,Injection,250 mg,60,1206,$30473,09-10-2023,Asia,Sara Gillespie,Hospitals
Drug A,Company V,Cream,100 mg/ml,50 g,1028,$26345,02-01-2024,Europe,Jennifer Jones,Clinics
Drug B,Company X,Syrup,100 mg/ml,100 ml,1821,$49772,05-08-2023,Europe,James Gonzalez,Clinics
Drug D,Company Z,Capsule,100 mg/ml,100 ml,187,$33824,19-05-2024,North America,Katherine George,Supermarkets
Drug A,Company Z,Capsule,250 mg,10 ml,1978,$10298,27-04-2024,South America,Melissa Spence,Online Pharmacy
Drug D,Company W,Tablet,50 mg,50 g,310,$8780,21-12-2023,South America,Renee Thompson,Supermarkets
Drug C,Company V,Capsule,500 mg,30,1232,$14892,26-12-2023,Africa,David Hall,Clinics
Drug E,Company W,Tablet,100 mg/ml,100 ml,1147,$31546,03-12-2023,South America,Patricia Herrera,Supermarkets
Drug D,Company V,Capsule,10 mg,60,157,$25507,08-09-2023,Asia,Alan Sloan,Supermarkets
Drug A,Company X,Capsule,100 mg/ml,30,110,$48715,05-05-2024,South America,Tami Robles,Clinics
Drug C,Company V,Injection,50 mg,100 ml,1496,$30359,04-01-2024,Europe,Edgar Hughes,Online Pharmacy
Drug D,Company V,Syrup,50 mg,50 g,1677,$14519,09-05-2024,Africa,Melissa Gonzalez,Clinics
Drug C,Company Y,Syrup,10 mg,30,103,$39963,26-01-2024,North America,Joseph Gregory,Supermarkets
Drug D,Company W,Cream,250 mg,30,621,$14108,07-03-2024,Africa,Daniel Bray,Pharmacy
Drug B,Company V,Tablet,500 mg,30,467,$42438,14-04-2024,North America,Angela Gibson,Hospitals
Drug A,Company V,Syrup,50 mg,60,528,$12478,19-07-2024,Asia,Luke Moore,Pharmacy
Drug B,Company Y,Syrup,100 mg/ml,30,651,$43294,15-09-2023,Africa,Darren Allen,Pharmacy
Drug C,Company Y,Capsule,250 mg,100 ml,213,$41727,23-11-2023,Asia,Sarah Gallagher,Online Pharmacy
